0.84,-2.85,1
-1.35,-1.66,1
1.42,1.06,1
2.35,-2.48,1
-0.47,-2.82,1
-1.69,0.03,0
-2.84,-1.81,0
0.9,0.27,1
-1.68,0.54,0
1.86,-2.96,1
1.83,1.19,1
-0.96,-2.07,1
2.74,-0.98,1
-2.44,-2.42,0
2.08,0.62,1
1.84,1.38,1
0.22,2.84,0
-0.73,0.31,0
1.98,0.71,1
2.17,0.46,1
1.23,-2.73,1
-1.63,-1.26,0
-2.52,-1.6,0
-2.39,-1.33,0
0.81,-0.81,1
-0.78,-1.74,1
-1.4,2.62,0
0.89,0.65,1
-1.97,1.37,0
-2.02,-0.72,0
2.94,0.84,1
0.34,1.11,0
2.06,1.66,1
-1.63,-2.81,1
-1.11,-1.39,1
-1.73,2.66,0
2.26,-1.11,1
0.93,-0.63,1
2.49,-0.25,1
-1.41,-1.52,1
0.37,-1.42,1
0.51,2.39,0
-0.6,-1.68,1
2.99,0.06,1
-2.45,-2.72,1
-2.34,0.76,0
1.75,-0.47,1
-2.62,-0.71,0
2.98,0.17,1
2.83,2.16,1
-2.93,1.32,0
1.09,0.22,1
-1.4,0.85,0
-2.33,-0.39,0
-0.28,2.72,0
2.26,-1.42,1
0.0,-1.93,1
2.48,2.22,1
-1.21,0.83,0
0.65,-2.08,1
1.58,0.24,1
1.67,0.18,1
-3.0,-1.06,0
-2.88,2.57,0
2.27,1.99,1
-1.15,-2.65,1
2.27,2.68,0
-2.49,-0.08,0
-2.58,1.56,0
1.6,-2.23,1
-0.15,0.3,0
-1.41,2.23,0
-0.46,-1.73,1
0.24,1.38,0
-1.79,-1.13,0
2.97,0.9,1
-0.37,0.11,0
-2.27,-1.65,0
-0.97,0.53,0
-1.62,-1.68,1
